,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
mu[191],8170.16,0.360525,53.5513,8085.47,8168.58,8260.95,22063.3,8.73612,1.00006
mu[192],6491.49,0.457278,69.3572,6379.23,6490.68,6606.84,23005.0,9.10901,0.999929
mu[193],8182.07,0.430909,67.2907,8065.95,8185.02,8286.86,24385.9,9.65577,1.00002
mu[194],6502.43,0.497244,75.1008,6379.7,6502.33,6627.27,22811.3,9.03232,0.999903
mu[195],8276.58,0.366681,55.8423,8183.25,8277.97,8366.63,23192.7,9.18332,0.999958
mu[196],8038.2,0.481491,71.4719,7916.42,8040.63,8151.3,22034.0,8.72454,0.999907
mu[197],6564.07,0.401454,62.1011,6464.12,6562.85,6667.48,23929.1,9.4749,0.999966
mu[198],8199.09,0.347662,50.6208,8116.17,8198.81,8281.81,21200.4,8.39445,0.999982
mu[199],7709.35,0.398732,61.5309,7603.66,7711.97,7806.38,23813.6,9.42919,0.999913
mu[200],7784.88,0.428753,63.1121,7680.73,7786.18,7886.07,21667.6,8.57947,0.999996
mu[201],8407.12,0.367111,54.4975,8313.29,8409.68,8492.27,22037.3,8.72584,0.999957
mu[202],8316.41,0.495339,69.2411,8196.39,8320.34,8423.36,19539.9,7.73698,1.00004
mu[203],8194.1,0.404959,61.1753,8090.01,8195.78,8292.1,22820.8,9.03606,0.999873
mu[204],7600.1,0.388879,54.1818,7508.23,7600.74,7687.03,19412.3,7.68644,1.00001
mu[205],7974.88,0.460101,71.3095,7849.12,7979.83,8082.78,24020.9,9.51125,0.999922
mu[206],8184.87,0.429815,63.0861,8082.34,8183.92,8290.47,21542.9,8.53007,0.999939
mu[207],7637.58,0.463022,65.3725,7535.0,7635.15,7748.83,19933.6,7.89288,0.999981
mu[208],8258.84,0.392532,60.2955,8155.9,8261.78,8353.1,23595.0,9.34263,1.00012
mu[209],8263.35,0.342396,51.2835,8176.98,8264.91,8344.79,22433.6,8.88275,0.999978
mu[210],9636.72,0.464365,69.2636,9523.75,9636.16,9752.01,22248.0,8.80928,1.00003
mu[211],8006.1,0.360321,52.6322,7922.09,8004.08,8094.83,21336.6,8.44838,1.00018
mu[212],9101.01,0.357203,53.8597,9012.98,9100.59,9189.64,22735.2,9.00218,1.00003
mu[213],5405.38,0.576958,90.6198,5258.02,5405.54,5554.79,24669.3,9.76801,0.999933
mu[214],5636.56,0.541387,84.0968,5499.93,5637.02,5776.46,24129.2,9.55416,0.999865
mu[215],7869.39,0.460258,64.5474,7765.97,7867.62,7979.27,19667.7,7.78759,0.999966
mu[216],6318.87,0.531126,80.1784,6187.2,6318.88,6450.99,22788.7,9.02335,0.999925
mu[217],7727.29,0.379,53.9981,7641.15,7725.64,7818.13,20299.2,8.03763,0.999964
mu[218],8368.0,0.368016,56.0949,8279.08,8365.9,8464.2,23233.4,9.19946,1.00002
mu[219],7721.85,0.417277,64.0144,7614.81,7722.67,7826.19,23534.6,9.3187,0.999884
mu[220],8450.7,0.490064,72.7214,8330.31,8451.65,8569.63,22020.1,8.71903,0.999984
mu[221],7791.99,0.336396,48.4896,7714.18,7790.85,7873.16,20777.6,8.22705,0.999961
mu[222],7199.3,0.376403,57.7596,7104.33,7199.36,7293.72,23547.3,9.32375,0.999923
mu[223],6967.54,0.388995,61.1664,6870.2,6966.03,7070.17,24725.1,9.7901,1.0
mu[224],7280.35,0.418605,63.2002,7176.82,7280.18,7385.46,22794.4,9.02562,1.0001
mu[225],8007.22,0.351673,50.8952,7922.53,8007.43,8091.16,20944.7,8.29322,0.99996
mu[226],7507.55,0.618834,88.1908,7356.07,7512.2,7643.22,20309.5,8.0417,0.999981
mu[227],9101.16,0.447965,68.2501,8989.52,9101.1,9213.82,23212.3,9.1911,1.00003
