,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
mu[179],7800.01,0.462152,70.8597,7678.97,7802.92,7912.81,23508.7,9.38908,1.00016
mu[180],7947.39,0.376854,56.8828,7852.78,7947.92,8039.99,22783.2,9.09935,1.00006
mu[181],9346.95,0.438491,63.3284,9243.96,9346.53,9452.07,20858.2,8.33049,1.00013
mu[182],6969.54,0.309268,45.2345,6895.57,6969.69,7044.37,21392.9,8.54407,1.00009
mu[183],8106.87,0.360518,52.0924,8023.63,8105.58,8194.47,20878.3,8.33853,1.00014
mu[184],7299.24,0.390561,58.2123,7205.66,7298.0,7397.01,22215.2,8.8725,1.00004
mu[185],5995.29,0.520428,77.2438,5870.44,5993.82,6124.46,22029.6,8.79836,0.999954
mu[186],8338.21,0.390072,58.3648,8244.35,8336.93,8435.53,22387.9,8.94145,1.00002
mu[187],7321.61,0.405562,58.3865,7225.63,7321.75,7417.8,20725.8,8.27762,1.00007
mu[188],8148.89,0.359159,54.4955,8058.4,8149.51,8237.87,23022.3,9.19485,0.999955
mu[189],8389.91,0.468539,66.5481,8283.4,8388.8,8500.93,20173.4,8.05701,1.00007
mu[190],7096.51,0.383867,56.458,7000.1,7098.85,7185.91,21631.6,8.63941,1.00029
mu[191],8169.88,0.358761,53.5697,8084.92,8168.26,8260.03,22296.1,8.90481,1.00025
mu[192],6491.26,0.466467,69.1545,6378.4,6490.24,6606.5,21978.6,8.77798,1.00009
mu[193],8182.24,0.44078,66.5399,8068.52,8184.81,8286.27,22788.8,9.10156,1.00016
mu[194],6502.14,0.505007,74.7077,6378.85,6502.31,6623.08,21884.4,8.74038,1.00007
mu[195],8276.73,0.379448,55.4299,8183.25,8277.86,8366.11,21339.5,8.52272,1.0001
mu[196],8038.16,0.474244,71.4469,7917.28,8040.8,8151.37,22696.7,9.06478,0.999992
mu[197],6563.75,0.412964,61.8822,6462.5,6563.18,6666.45,22454.7,8.96813,1.00019
mu[198],8198.72,0.345437,50.6187,8115.24,8198.88,8281.69,21472.6,8.5759,1.00018
mu[199],7709.27,0.407764,61.2187,7605.4,7710.92,7806.93,22539.8,9.00211,1.00003
mu[200],7784.13,0.437435,63.3799,7679.72,7783.85,7887.24,20993.1,8.38438,1.00016
mu[201],8407.04,0.363702,54.9813,8312.7,8409.6,8492.81,22852.8,9.12714,0.999937
mu[202],8316.83,0.483073,69.5812,8196.7,8320.89,8424.78,20747.1,8.28614,1.00002
mu[203],8194.14,0.401508,60.4276,8091.22,8195.73,8290.61,22650.7,9.04642,1.00007
mu[204],7600.42,0.370844,54.5329,7508.69,7601.06,7688.81,21624.0,8.63637,0.999984
mu[205],7975.57,0.469327,70.7472,7850.66,7980.35,8082.4,22723.0,9.07531,1.00001
mu[206],8184.75,0.425685,62.8232,8082.12,8184.31,8288.77,21780.3,8.69878,0.999942
mu[207],7637.21,0.45125,64.9132,7534.34,7635.03,7747.18,20693.3,8.26466,1.00008
mu[208],8259.26,0.388669,60.4374,8156.08,8261.13,8353.98,24179.7,9.6571,1.00008
mu[209],8263.3,0.343848,51.1709,8176.65,8264.45,8344.75,22146.9,8.84521,1.00021
mu[210],9636.59,0.472274,70.0733,9523.8,9635.68,9752.9,22015.0,8.79251,1.0001
mu[211],8005.92,0.353421,52.6823,7922.29,8004.32,8095.37,22220.0,8.87441,1.0002
mu[212],9100.96,0.362613,54.1988,9011.25,9100.88,9189.34,22340.5,8.92254,0.999999
mu[213],5405.61,0.601844,90.6595,5258.42,5405.14,5556.16,22691.3,9.06263,0.999977
mu[214],5636.4,0.559013,84.2032,5496.96,5636.52,5772.74,22688.9,9.06166,0.999914
mu[215],7868.86,0.445517,64.3276,7766.08,7866.95,7977.3,20848.1,8.32647,1.00018
mu[216],6318.4,0.52211,79.9278,6186.95,6318.17,6450.49,23435.3,9.35979,1.00005
mu[217],7727.04,0.3771,54.0655,7640.86,7725.62,7817.7,20555.4,8.2096,1.00015
mu[218],8368.24,0.374994,56.3817,8279.02,8365.84,8463.46,22606.3,9.02868,0.999988
mu[219],7722.02,0.423278,63.5769,7615.97,7722.91,7824.33,22560.5,9.01038,1.00008
mu[220],8450.81,0.48208,72.7718,8330.44,8451.81,8568.59,22787.0,9.10086,0.999908
mu[221],7791.57,0.344519,48.6043,7711.45,7791.06,7872.37,19903.2,7.94908,1.00013
mu[222],7199.47,0.391955,57.0242,7105.79,7199.08,7293.69,21166.3,8.45357,1.0
mu[223],6967.59,0.407451,61.1195,6868.36,6966.44,7069.96,22501.3,8.98677,1.00008
mu[224],7280.76,0.42282,63.6133,7176.34,7280.41,7385.3,22635.2,9.04023,0.999948
mu[225],8006.76,0.347329,50.4066,7923.42,8006.62,8089.13,21061.7,8.4118,1.00006
mu[226],7508.2,0.603954,88.1153,7356.14,7513.54,7644.74,21286.0,8.50139,0.999884
mu[227],9100.71,0.446404,69.1245,8988.98,9099.99,9214.8,23977.7,9.57642,1.00008
mu[228],8621.58,0.369305,56.6039,8526.37,8622.94,8711.51,23492.1,9.38248,0.999906
mu[229],8862.73,0.386219,60.0874,8761.35,8864.32,8957.7,24204.6,9.66705,0.999937
mu[230],8333.76,0.397674,59.5441,8233.83,8335.12,8428.95,22419.3,8.95401,1.00013
mu[231],7307.73,0.463203,68.5294,7195.49,7307.28,7419.61,21888.2,8.7419,1.00008
mu[232],9771.3,0.432265,65.8122,9663.09,9770.59,9879.76,23180.0,9.25781,0.999989
mu[233],8121.07,0.341397,50.0089,8041.52,8119.01,8205.26,21457.3,8.56979,1.00005
mu[234],8775.14,0.341034,50.8221,8692.2,8774.66,8858.07,22208.1,8.86963,1.00013
mu[235],9341.52,0.445146,67.4146,9228.33,9342.56,9450.91,22935.2,9.16006,0.999889
mu[236],10395.9,0.583743,87.5237,10253.4,10394.8,10540.4,22480.6,8.97849,1.00003
mu[237],8927.99,0.374405,55.6255,8836.99,8928.14,9019.23,22073.1,8.81575,1.00014
mu[238],8354.42,0.398752,60.7558,8252.6,8355.38,8451.65,23215.0,9.2718,0.999947
